profile_id,region_code,state_code,coverage_limit,num_vehicles,num_drivers,household_size,youth_driver_flag,senior_driver_flag,prior_claim_count,multi_policy_flag,home_value_band,credit_score_band,urban_rural_flag
16441,Region 2,S04,1M,4,3,3,0,0,1,1,Standard,High,Urban
16447,Region 3,S06,2M,3,2,2,0,0,0,1,Entry,High,Suburban
16452,Region 5,S09,1M,3,1,1,0,1,0,1,Standard,High,Suburban
16461,Region 2,S04,1M,7,5,5,0,0,0,0,Standard,High,Urban
16462,Region 5,S11,1M,4,2,2,0,0,0,0,Premium,Medium,Urban
16500,Region 2,S04,1M,2,2,2,0,0,1,1,Standard,Low,Rural
16523,Region 5,S10,2M,1,1,2,1,0,0,1,Premium,Medium,Rural
16529,Region 1,S02,2M,4,3,3,0,0,1,1,Premium,High,Suburban
16541,Region 2,S12,2M,3,2,2,0,0,0,0,Standard,Medium,Suburban
16555,Region 5,S11,1M,3,3,3,0,1,0,0,Standard,Low,Urban
16559,Region 2,S04,2M,3,2,2,0,0,1,0,Entry,Low,Urban
16580,Region 1,S01,1M,2,1,1,0,1,0,1,Standard,Medium,Rural
16603,Region 1,S02,1M,5,3,3,0,1,0,0,Standard,Medium,Suburban
16607,Region 2,S12,1M,5,3,3,0,0,0,0,Standard,Medium,Rural
16639,Region 2,S03,1M,1,1,2,0,0,0,1,Standard,Medium,Urban
16645,Region 4,S08,5M,4,3,3,0,0,0,1,Entry,Medium,Suburban
16654,Region 3,S06,1M,3,2,2,0,0,0,0,Standard,Medium,Rural
16667,Region 5,S09,1M,6,4,4,0,0,0,0,Standard,Medium,Rural
16668,Region 4,S08,1M,5,4,4,1,0,0,0,Premium,Medium,Urban
16673,Region 1,S02,1M,3,3,3,0,0,0,1,Premium,High,Urban
16679,Region 5,S11,2M,3,2,2,0,0,0,0,Standard,High,Suburban
16681,Region 2,S04,1M,6,5,6,0,0,0,1,Premium,Medium,Suburban
16695,Region 5,S11,1M,1,1,1,0,1,1,0,Entry,Medium,Rural
16702,Region 1,S02,2M,2,1,1,0,0,0,1,Standard,Low,Suburban
16717,Region 4,S07,1M,5,3,3,0,0,0,0,Standard,Medium,Urban
16727,Region 5,S11,1M,5,4,4,0,0,0,1,Premium,High,Urban
16731,Region 1,S02,5M,4,4,4,0,0,0,0,Standard,Medium,Urban
16736,Region 2,S12,1M,4,2,2,0,0,0,1,Standard,Medium,Suburban
16751,Region 2,S03,5M,4,3,4,1,0,0,1,Entry,High,Suburban
16755,Region 4,S08,1M,6,5,5,0,0,0,0,Entry,Low,Suburban
16766,Region 2,S12,2M,3,3,3,0,0,0,1,Standard,Medium,Suburban
16775,Region 3,S06,1M,3,2,2,0,0,0,1,Standard,Low,Suburban
16784,Region 2,S03,1M,2,2,2,0,0,0,0,Standard,Medium,Urban
16791,Region 4,S08,1M,6,4,4,0,0,0,0,Standard,Medium,Suburban
16801,Region 3,S06,1M,2,1,2,0,0,0,1,Standard,Low,Suburban
16802,Region 3,S06,5M,3,1,2,0,0,1,1,Standard,High,Suburban
16815,Region 5,S11,1M,3,2,2,0,0,0,1,Standard,High,Suburban
16817,Region 5,S11,1M,7,6,7,0,0,3,1,Standard,High,Urban
16822,Region 2,S12,1M,3,3,3,1,0,0,0,Entry,Medium,Suburban
16823,Region 5,S09,1M,6,5,5,0,0,0,1,Entry,Medium,Suburban
16824,Region 5,S11,2M,5,5,5,1,0,0,0,Premium,High,Suburban
16825,Region 1,S01,1M,5,4,4,0,0,0,1,High Net Worth,Medium,Suburban
16843,Region 2,S04,1M,3,2,2,0,0,0,0,Standard,High,Suburban
16846,Region 2,S03,1M,4,3,3,0,1,0,0,Standard,High,Suburban
16847,Region 2,S04,5M,2,1,2,1,0,0,1,Standard,Low,Urban
16854,Region 4,S08,1M,6,5,5,1,0,0,1,Entry,High,Urban
16867,Region 3,S05,1M,4,4,4,0,0,1,0,Entry,Medium,Suburban
16870,Region 4,S08,1M,3,3,3,0,0,0,0,Entry,Medium,Rural
16885,Region 4,S07,2M,2,1,1,0,0,0,1,Standard,Medium,Suburban
16886,Region 2,S04,1M,3,2,3,0,1,0,1,Standard,High,Suburban
16896,Region 5,S10,2M,6,6,7,0,1,0,1,Premium,Medium,Suburban
16911,Region 3,S06,1M,4,3,3,0,0,0,1,Premium,Medium,Suburban
16931,Region 5,S11,1M,4,3,3,0,0,1,0,Premium,Medium,Suburban
16959,Region 5,S10,1M,3,2,3,0,1,0,0,High Net Worth,High,Urban
16963,Region 3,S05,1M,1,1,2,1,0,0,1,Standard,High,Urban
16988,Region 3,S06,1M,6,4,4,0,0,0,1,High Net Worth,Medium,Suburban
16991,Region 3,S06,2M,3,3,3,0,0,0,0,Standard,Low,Urban
17010,Region 2,S04,1M,4,3,3,0,0,0,0,Entry,High,Urban
17031,Region 5,S09,1M,6,5,6,1,0,0,0,Premium,Low,Urban
17038,Region 2,S03,2M,2,1,2,0,1,0,0,Premium,Medium,Suburban
17064,Region 4,S07,1M,3,2,2,0,0,0,1,Standard,Low,Urban
17079,Region 5,S10,1M,6,4,4,0,0,0,1,Standard,Low,Suburban
17091,Region 1,S02,1M,1,1,1,0,1,0,0,Entry,Medium,Rural
17093,Region 5,S09,1M,3,1,2,0,0,0,0,Standard,Medium,Suburban
17096,Region 5,S09,2M,2,2,3,0,0,0,0,Premium,Medium,Urban
17097,Region 3,S05,2M,6,4,4,0,0,0,1,Entry,Medium,Urban
17110,Region 4,S08,1M,4,3,3,0,0,0,0,Entry,High,Suburban
17137,Region 4,S08,2M,2,1,1,0,0,0,0,Standard,Medium,Urban
17150,Region 1,S02,1M,2,2,2,0,0,0,0,Standard,Medium,Suburban
17151,Region 5,S11,5M,4,3,3,0,0,0,1,Standard,Medium,Urban
17156,Region 4,S07,1M,4,3,4,1,1,0,0,Standard,High,Suburban
17165,Region 5,S09,2M,6,5,5,0,0,0,1,Standard,High,Rural
17170,Region 2,S03,2M,1,1,1,0,1,0,0,Standard,Medium,Rural
17173,Region 3,S05,1M,3,2,3,0,0,0,0,Standard,High,Rural
17191,Region 4,S08,5M,3,3,3,0,0,0,1,Standard,High,Rural
17196,Region 5,S11,1M,4,2,2,0,0,0,0,High Net Worth,Medium,Urban
17234,Region 5,S09,2M,1,1,1,0,0,0,0,Entry,High,Suburban
17241,Region 2,S04,5M,7,6,6,0,0,0,1,Standard,High,Rural
17248,Region 2,S03,1M,7,5,5,0,0,0,1,Standard,Medium,Rural
17255,Region 5,S09,2M,3,2,2,0,0,0,1,Entry,Medium,Rural
17285,Region 5,S11,1M,4,2,2,0,0,0,1,Premium,High,Suburban
17290,Region 4,S07,1M,5,3,3,0,0,0,0,Premium,High,Suburban
17309,Region 5,S11,1M,1,1,1,0,0,1,1,Premium,High,Suburban
17314,Region 5,S11,1M,2,2,2,0,0,1,1,Premium,Medium,Rural
17315,Region 4,S07,2M,5,3,3,0,0,0,1,High Net Worth,Low,Urban
17319,Region 3,S05,1M,1,1,1,0,0,0,0,Standard,High,Urban
17330,Region 1,S02,5M,3,2,3,0,0,1,1,Premium,High,Urban
17338,Region 4,S08,5M,3,3,3,0,1,0,1,Entry,Medium,Urban
17343,Region 2,S04,2M,3,3,3,0,0,0,0,Standard,Medium,Urban
17347,Region 4,S08,1M,2,2,2,1,1,0,1,Standard,Medium,Suburban
17360,Region 5,S11,2M,4,2,2,0,0,1,0,Premium,Medium,Rural
17365,Region 5,S10,1M,4,2,3,0,0,0,0,Standard,Medium,Urban
17371,Region 3,S06,1M,2,2,2,1,0,1,1,Standard,Medium,Suburban
17373,Region 5,S09,5M,3,2,2,0,0,0,0,Standard,Low,Urban
17377,Region 2,S12,5M,4,2,3,0,0,0,0,Standard,Low,Suburban
17383,Region 2,S12,2M,2,1,2,0,0,0,1,Premium,Low,Suburban
17404,Region 2,S04,2M,2,2,2,0,0,1,0,Entry,High,Urban
17416,Region 3,S06,2M,5,3,3,0,0,2,0,High Net Worth,Medium,Suburban
17426,Region 2,S12,1M,5,4,4,0,0,0,1,High Net Worth,Medium,Urban
17437,Region 3,S06,2M,2,2,2,0,0,2,1,Premium,Low,Urban
17445,Region 5,S10,1M,6,5,5,0,0,0,1,High Net Worth,High,Suburban
17455,Region 2,S04,5M,6,5,5,0,0,0,1,Standard,High,Urban
17495,Region 4,S07,1M,4,3,3,1,0,0,1,Standard,High,Urban
17498,Region 5,S10,1M,5,4,4,0,0,0,1,Standard,Medium,Urban
17502,Region 2,S12,1M,3,2,2,0,0,0,1,Standard,High,Urban
17503,Region 1,S02,1M,7,5,5,0,1,0,1,Standard,High,Suburban
17527,Region 2,S12,1M,2,2,2,0,0,0,0,Entry,Low,Urban
17543,Region 3,S05,1M,4,4,4,0,0,1,1,Premium,Medium,Suburban
17550,Region 2,S03,1M,2,2,2,0,0,0,0,Entry,Low,Suburban
17556,Region 1,S01,1M,5,3,3,0,0,0,0,Standard,High,Urban
17571,Region 3,S06,1M,7,4,4,0,0,0,0,High Net Worth,Low,Suburban
17580,Region 3,S06,1M,3,3,3,0,0,0,1,Standard,High,Urban
17584,Region 3,S05,5M,3,3,3,0,0,1,1,Standard,Medium,Urban
17589,Region 4,S07,1M,5,4,4,0,0,0,1,Standard,Low,Urban
17610,Region 3,S06,2M,2,1,1,1,0,1,1,Entry,Medium,Rural
17614,Region 4,S08,1M,4,3,3,0,0,0,1,Entry,Medium,Suburban
17628,Region 5,S11,2M,7,5,5,0,0,0,0,Premium,Low,Suburban
17643,Region 4,S07,1M,5,3,3,0,0,0,0,Premium,High,Urban
17673,Region 3,S05,1M,5,3,3,0,0,0,0,Entry,High,Urban
17690,Region 2,S04,2M,6,4,4,0,0,0,0,High Net Worth,Medium,Rural
17692,Region 1,S01,2M,2,1,2,0,0,0,0,Entry,Medium,Urban
17709,Region 5,S11,2M,6,3,4,0,1,0,1,High Net Worth,High,Suburban
17712,Region 3,S06,1M,4,3,3,0,0,1,1,Standard,Medium,Rural
17714,Region 4,S07,2M,4,3,3,0,0,0,1,Entry,Low,Urban
17720,Region 3,S05,2M,5,5,5,1,0,1,1,Entry,Medium,Suburban
17721,Region 5,S09,1M,3,3,3,0,0,0,0,Standard,High,Urban
17742,Region 5,S09,2M,3,3,3,0,0,1,1,Standard,Medium,Urban
17761,Region 4,S08,1M,3,2,2,0,0,0,1,Entry,High,Suburban
17774,Region 2,S04,2M,1,1,2,0,0,0,1,Entry,High,Rural
17776,Region 2,S04,2M,5,4,4,0,0,0,0,Standard,High,Urban
17789,Region 5,S10,2M,2,1,1,0,0,0,0,Premium,Medium,Suburban
17800,Region 5,S10,1M,2,2,2,0,0,0,0,Entry,Medium,Suburban
17806,Region 2,S12,1M,5,5,5,1,0,0,0,Premium,Low,Suburban
17820,Region 3,S05,2M,2,1,1,0,0,0,1,Standard,High,Suburban
17821,Region 5,S09,5M,1,1,1,1,0,0,0,Premium,Low,Rural
17832,Region 2,S03,1M,2,2,3,0,0,0,1,Entry,High,Urban
17837,Region 1,S01,1M,5,4,4,0,0,1,1,Premium,Medium,Rural
17841,Region 1,S02,5M,4,3,3,0,0,0,0,Entry,Medium,Suburban
17849,Region 1,S02,2M,5,3,4,0,0,0,0,Standard,Medium,Suburban
17893,Region 2,S12,1M,7,4,4,0,0,1,1,High Net Worth,Medium,Urban
17907,Region 4,S08,2M,3,1,1,0,0,0,1,Premium,Medium,Rural
17912,Region 5,S09,1M,5,3,3,0,0,0,0,Standard,Medium,Urban
17920,Region 3,S05,2M,3,2,3,0,0,1,1,Entry,High,Urban
17928,Region 5,S11,5M,4,3,3,0,0,0,0,Premium,Low,Suburban
17934,Region 2,S12,1M,2,1,1,0,0,0,1,Standard,Low,Suburban
17948,Region 4,S07,2M,3,3,3,0,0,0,1,Standard,Medium,Urban
17954,Region 3,S06,2M,3,1,2,0,0,1,0,Entry,High,Suburban
17962,Region 2,S12,1M,3,3,4,0,0,0,0,Standard,Medium,Suburban
17972,Region 4,S08,1M,2,1,2,0,0,1,1,Premium,Low,Rural
17973,Region 2,S04,1M,1,1,1,0,0,0,1,Standard,Medium,Urban
18006,Region 5,S10,1M,5,4,4,0,0,0,1,Premium,High,Urban
18024,Region 5,S09,1M,4,4,4,0,0,0,1,Standard,High,Suburban
18036,Region 1,S01,1M,8,6,6,0,0,1,0,Entry,Medium,Suburban
18046,Region 1,S02,1M,4,2,2,0,1,0,1,Premium,Low,Urban
18049,Region 4,S08,1M,6,5,5,0,1,0,1,Entry,Medium,Suburban
18053,Region 2,S12,1M,4,3,3,0,0,1,0,Standard,High,Urban
18054,Region 1,S01,5M,8,6,6,0,0,0,1,Standard,High,Suburban
18064,Region 3,S05,2M,6,5,5,0,0,0,0,Premium,Low,Suburban
18093,Region 3,S05,2M,3,2,2,0,1,0,1,High Net Worth,High,Rural
18094,Region 3,S05,1M,3,2,3,0,0,0,1,Premium,Medium,Suburban
18108,Region 3,S06,1M,3,2,2,0,0,0,0,Premium,Low,Suburban
18117,Region 2,S04,2M,3,2,2,0,0,1,0,Premium,Medium,Suburban
18123,Region 4,S07,1M,3,2,2,0,0,0,0,Standard,Medium,Suburban
18140,Region 3,S05,1M,2,2,2,0,1,0,1,Entry,Medium,Urban
18143,Region 2,S12,5M,2,1,2,0,0,0,0,Entry,High,Rural
18145,Region 5,S10,1M,4,4,4,1,1,1,1,Premium,Medium,Suburban
18146,Region 2,S04,1M,3,3,3,0,0,0,0,Premium,Medium,Suburban
18167,Region 2,S12,5M,4,2,2,0,0,0,0,Standard,Low,Suburban
18177,Region 1,S01,2M,2,2,3,0,0,0,1,Entry,Low,Suburban
18186,Region 2,S03,1M,6,4,4,0,0,1,1,Premium,Low,Rural
18190,Region 5,S10,1M,3,1,1,0,1,0,1,Entry,High,Suburban
18216,Region 5,S11,2M,5,3,4,0,0,0,0,Premium,Medium,Urban
18242,Region 1,S01,2M,4,3,3,0,0,0,0,Premium,High,Urban
18249,Region 2,S12,1M,4,4,4,0,0,1,0,Standard,Medium,Suburban
18276,Region 2,S04,1M,3,2,2,0,0,0,1,Standard,Medium,Rural
18293,Region 5,S11,5M,2,2,2,0,0,0,0,Standard,High,Rural
18309,Region 3,S06,1M,3,3,3,0,0,0,0,Premium,Medium,Suburban
18330,Region 3,S05,2M,4,3,3,0,0,0,0,Standard,Medium,Suburban
18332,Region 5,S10,5M,7,5,6,0,0,0,1,Standard,High,Suburban
18338,Region 5,S09,1M,4,3,3,0,0,0,1,Standard,Medium,Urban
18343,Region 2,S03,2M,3,3,3,0,0,0,1,Entry,High,Rural
18347,Region 4,S08,2M,2,2,2,0,0,1,0,Standard,High,Rural
18353,Region 4,S07,1M,4,2,3,0,0,0,1,High Net Worth,High,Suburban
18360,Region 1,S02,2M,5,5,5,0,0,1,0,Premium,Medium,Rural
18361,Region 4,S08,2M,3,3,3,0,0,1,1,Premium,Low,Suburban
18368,Region 4,S07,2M,5,4,4,1,0,0,0,Standard,High,Suburban
18374,Region 3,S06,2M,2,1,1,0,0,0,0,Entry,Medium,Suburban
18413,Region 2,S12,2M,4,3,3,0,0,0,1,Premium,High,Suburban
18419,Region 5,S10,1M,7,5,6,0,0,0,0,Entry,Medium,Urban
18421,Region 5,S11,1M,5,3,3,0,0,0,1,Standard,Medium,Rural
18438,Region 5,S11,1M,5,4,4,1,0,1,0,Standard,Medium,Urban
18439,Region 2,S04,1M,6,5,5,0,0,0,0,Entry,Medium,Rural
18455,Region 5,S11,1M,2,1,2,1,0,0,1,Standard,Low,Suburban
18466,Region 3,S06,2M,4,3,3,0,0,0,1,Premium,High,Urban
18474,Region 4,S07,5M,5,4,4,0,0,0,0,Entry,Medium,Suburban
18476,Region 2,S04,1M,3,3,3,0,1,0,0,Premium,Medium,Rural
18486,Region 3,S05,1M,3,1,1,0,0,0,0,Premium,Medium,Urban
18491,Region 2,S04,2M,2,1,2,0,1,1,1,Premium,Medium,Rural
18534,Region 5,S11,1M,2,1,1,0,0,0,0,Entry,High,Rural
18539,Region 5,S09,1M,6,4,4,1,0,0,0,Premium,Medium,Suburban
18551,Region 5,S09,2M,6,5,5,0,0,0,1,Premium,Low,Suburban
18553,Region 2,S03,2M,6,4,4,0,0,0,0,Entry,High,Suburban
18554,Region 5,S09,2M,5,3,4,0,0,0,1,Entry,Medium,Suburban
18555,Region 5,S11,5M,4,4,4,0,1,0,1,Standard,Medium,Urban
18568,Region 2,S04,1M,1,1,1,0,0,1,1,Premium,High,Rural
18576,Region 4,S07,1M,4,4,4,0,0,0,0,Standard,High,Suburban
18589,Region 1,S02,2M,3,3,3,0,0,0,1,Premium,High,Rural
18591,Region 3,S05,1M,4,3,3,0,0,0,1,Standard,High,Urban
18593,Region 3,S06,5M,7,6,6,0,1,0,1,Premium,High,Urban
18599,Region 2,S03,1M,6,4,4,0,0,0,1,Standard,High,Urban
18608,Region 5,S09,1M,5,4,4,0,0,0,0,Standard,Medium,Suburban
18621,Region 2,S03,2M,3,3,3,1,0,0,1,Premium,Medium,Rural
18622,Region 5,S10,1M,1,1,1,0,0,1,0,Standard,Low,Rural
18628,Region 2,S04,5M,2,2,2,0,0,1,1,Entry,High,Suburban
18631,Region 2,S04,2M,2,1,1,0,1,1,0,Premium,Medium,Urban
18635,Region 5,S11,1M,3,3,3,1,1,1,0,Standard,Medium,Urban
18645,Region 4,S08,2M,2,1,1,0,0,0,0,Entry,High,Suburban
18648,Region 5,S11,2M,2,1,1,0,0,0,0,Standard,Medium,Suburban
18653,Region 5,S10,1M,1,1,2,0,0,0,0,Premium,High,Suburban
18658,Region 1,S02,1M,3,2,2,0,0,0,1,Premium,High,Suburban
18665,Region 3,S05,1M,4,2,3,0,0,0,1,Standard,Medium,Rural
18671,Region 2,S12,1M,7,6,7,0,0,0,1,Premium,Medium,Suburban
18695,Region 3,S06,1M,4,4,4,0,0,1,1,Premium,High,Rural
18703,Region 2,S12,2M,5,3,3,0,0,1,1,Standard,Medium,Suburban
18714,Region 4,S07,1M,5,4,4,0,0,0,1,Standard,High,Urban
18728,Region 2,S04,1M,5,4,4,0,0,1,1,Entry,Medium,Rural
18733,Region 5,S11,1M,6,4,4,0,0,0,1,Standard,Medium,Urban
18735,Region 2,S12,1M,2,1,1,0,0,0,0,Entry,High,Urban
18740,Region 1,S02,2M,3,1,1,0,0,0,1,Standard,Medium,Urban
18743,Region 3,S06,1M,7,6,7,0,0,0,1,Standard,High,Urban
18750,Region 3,S05,2M,4,4,4,0,0,0,1,Standard,Medium,Urban
18756,Region 4,S08,1M,3,2,2,0,0,0,0,Premium,Medium,Suburban
18760,Region 2,S04,1M,5,3,3,0,0,1,1,Premium,High,Suburban
18772,Region 3,S06,2M,4,3,3,0,0,0,1,Standard,Low,Suburban
18784,Region 1,S01,1M,4,3,4,0,0,0,0,Standard,High,Urban
18798,Region 3,S05,1M,5,4,5,0,0,0,1,Standard,Medium,Suburban
18812,Region 5,S10,1M,4,3,4,0,0,1,1,Premium,Medium,Suburban
18830,Region 3,S06,5M,1,1,1,0,0,0,1,Standard,High,Suburban
18833,Region 5,S10,2M,2,1,1,0,0,0,1,Entry,High,Rural
18843,Region 3,S06,1M,5,5,6,0,1,0,1,Premium,High,Urban
18847,Region 5,S11,1M,5,5,5,1,0,1,1,Standard,Medium,Rural
18849,Region 2,S12,1M,6,4,4,0,0,0,0,Premium,High,Suburban
18876,Region 4,S07,2M,4,3,3,0,0,0,1,Entry,Medium,Urban
18882,Region 4,S08,1M,4,4,4,0,0,0,1,Standard,Medium,Urban
18894,Region 1,S02,2M,3,2,2,0,0,0,1,Standard,Medium,Suburban
18906,Region 5,S10,2M,3,1,1,0,0,0,0,Entry,Medium,Urban
18912,Region 3,S05,2M,2,1,1,0,0,1,0,Premium,Medium,Urban
18913,Region 2,S12,1M,4,3,3,0,0,1,0,Premium,Medium,Rural
18929,Region 5,S10,2M,1,1,1,0,0,1,1,Standard,Medium,Suburban
18938,Region 5,S11,2M,2,1,2,0,0,0,0,Standard,High,Rural
18949,Region 4,S07,2M,6,4,4,1,0,1,0,Standard,Medium,Urban
18950,Region 5,S10,1M,5,4,4,0,0,0,1,Premium,Low,Urban
18955,Region 5,S09,1M,2,1,1,0,0,0,1,Entry,Medium,Suburban
18961,Region 2,S03,1M,4,2,3,0,0,0,1,Standard,Low,Suburban
18970,Region 2,S03,2M,2,1,2,0,0,0,1,Standard,Medium,Suburban
18988,Region 3,S05,1M,2,1,1,0,0,0,1,Premium,Medium,Suburban
19003,Region 2,S12,1M,2,1,1,0,0,0,0,Standard,Medium,Rural
19028,Region 2,S03,2M,8,6,7,0,0,0,1,High Net Worth,Medium,Suburban
19042,Region 3,S05,1M,3,1,1,0,0,0,1,Entry,High,Urban
19052,Region 2,S03,1M,5,3,3,0,1,0,0,High Net Worth,Medium,Suburban
19065,Region 3,S05,2M,8,6,6,0,0,0,1,Premium,Low,Suburban
19071,Region 3,S06,1M,4,3,4,0,0,0,1,Standard,Medium,Suburban
19084,Region 2,S04,2M,6,4,4,0,0,1,1,Standard,Low,Rural
19091,Region 5,S11,2M,3,3,3,0,0,0,0,Entry,Medium,Urban
19101,Region 1,S01,1M,6,3,4,0,0,0,1,High Net Worth,High,Suburban
19109,Region 5,S10,1M,4,3,3,0,0,0,1,Entry,Medium,Rural
19114,Region 3,S06,1M,2,2,3,0,1,0,1,Standard,Low,Suburban
19125,Region 1,S02,1M,4,2,2,0,0,1,0,Standard,High,Suburban
19136,Region 5,S10,5M,2,2,2,0,0,0,1,Standard,High,Suburban
19171,Region 5,S10,2M,3,1,1,0,0,0,0,Standard,Medium,Suburban
19212,Region 2,S04,1M,2,1,1,0,0,0,0,Premium,Medium,Suburban
19213,Region 2,S12,1M,4,3,3,0,1,0,1,Standard,High,Rural
19219,Region 2,S12,1M,6,6,7,0,1,0,1,Standard,High,Rural
19224,Region 4,S08,1M,1,1,2,0,0,0,0,Standard,Medium,Suburban
19243,Region 5,S09,1M,6,4,5,0,0,0,0,High Net Worth,High,Suburban
19264,Region 3,S05,5M,5,4,4,0,0,0,1,Premium,Medium,Suburban
19265,Region 1,S02,2M,7,6,6,1,0,0,0,Premium,Medium,Urban
19275,Region 2,S03,1M,2,1,2,0,0,1,1,Standard,High,Urban
19295,Region 2,S03,2M,6,4,4,1,0,0,1,High Net Worth,Low,Rural
19309,Region 4,S08,2M,4,2,2,0,0,0,1,Standard,Medium,Urban
19316,Region 2,S03,2M,3,2,2,1,0,0,0,Entry,High,Urban
19321,Region 2,S04,1M,2,2,2,0,0,0,0,Standard,Low,Urban
19326,Region 1,S01,5M,7,6,6,0,0,1,0,Standard,Low,Urban
19350,Region 5,S10,1M,2,1,1,0,0,0,1,Premium,High,Suburban
19357,Region 2,S04,1M,5,4,4,0,1,0,1,Premium,Medium,Suburban
19371,Region 4,S08,1M,2,1,1,0,0,0,0,Standard,High,Urban
19403,Region 5,S10,1M,3,3,3,0,0,0,0,Premium,High,Suburban
19426,Region 1,S02,2M,3,3,3,0,0,1,0,Entry,High,Suburban
19435,Region 5,S11,1M,3,2,3,0,0,1,0,High Net Worth,Low,Suburban
19437,Region 4,S08,1M,5,4,4,0,0,1,1,High Net Worth,High,Urban
19445,Region 2,S03,1M,3,2,2,0,0,0,0,Premium,High,Rural
19448,Region 2,S04,2M,2,1,2,0,0,0,1,Entry,Medium,Suburban
19455,Region 4,S07,1M,1,1,2,0,0,0,1,Standard,High,Suburban
19459,Region 5,S09,1M,2,1,1,0,0,0,1,Standard,Medium,Rural
19469,Region 5,S09,1M,2,2,2,0,1,0,1,Standard,Medium,Suburban
19489,Region 2,S03,1M,2,1,1,0,1,0,1,Entry,High,Rural
19490,Region 5,S11,1M,5,4,4,1,0,0,0,Premium,High,Suburban
19497,Region 1,S01,1M,6,5,5,1,0,0,1,Entry,High,Urban
19525,Region 5,S10,2M,5,4,4,0,0,0,1,Entry,High,Urban
19527,Region 2,S03,1M,4,4,4,0,0,0,0,Standard,Medium,Urban
19528,Region 5,S09,1M,6,5,5,1,0,1,0,Entry,High,Rural
19535,Region 2,S12,1M,4,4,4,0,1,1,0,Standard,Medium,Suburban
19541,Region 1,S01,2M,4,3,3,0,0,0,0,Standard,Low,Rural
19549,Region 4,S07,1M,4,3,3,0,0,0,0,Premium,Medium,Suburban
19555,Region 2,S03,2M,4,3,3,0,1,0,1,Premium,Low,Rural
19560,Region 1,S01,1M,2,1,1,0,0,0,1,Premium,Medium,Urban
19571,Region 2,S12,2M,3,2,3,0,0,0,1,Entry,High,Urban
19592,Region 2,S12,5M,2,2,2,1,1,1,1,Premium,High,Urban
19595,Region 4,S07,1M,4,2,3,0,1,1,0,Standard,Medium,Suburban
19621,Region 4,S08,2M,4,3,3,0,0,0,0,Entry,High,Rural
19646,Region 5,S09,1M,2,2,2,0,1,0,1,Premium,Medium,Suburban
19649,Region 3,S06,1M,3,1,1,0,0,0,0,Standard,Medium,Suburban
19650,Region 1,S01,1M,2,1,1,1,0,0,1,Standard,Medium,Suburban
19656,Region 5,S09,1M,3,1,1,0,0,1,1,Entry,Medium,Suburban
19663,Region 3,S06,1M,4,3,3,0,0,0,0,Entry,Medium,Suburban
19664,Region 3,S06,2M,2,1,2,0,0,0,0,Premium,Medium,Urban
19665,Region 2,S03,2M,5,3,4,0,0,0,1,Standard,Medium,Suburban
19682,Region 5,S11,2M,4,3,3,0,0,1,0,Standard,Medium,Urban
19688,Region 3,S06,2M,2,1,2,0,0,0,1,Premium,Low,Suburban
19697,Region 5,S09,2M,3,3,3,0,0,1,0,Standard,Low,Urban
19708,Region 5,S10,2M,4,3,3,0,0,1,1,Standard,Medium,Suburban
19712,Region 1,S01,5M,1,1,1,0,0,0,1,Standard,Medium,Suburban
19717,Region 5,S10,5M,3,3,4,0,0,0,1,Entry,Medium,Urban
19730,Region 5,S09,2M,4,3,3,1,0,1,1,High Net Worth,High,Urban
19731,Region 4,S08,1M,3,2,2,0,0,1,0,Premium,High,Urban
19733,Region 3,S05,1M,2,1,2,0,1,0,1,Standard,High,Urban
19737,Region 4,S08,2M,2,2,3,0,0,1,1,Premium,Medium,Suburban
19738,Region 2,S12,1M,6,5,5,0,0,0,1,Standard,Low,Suburban
19758,Region 2,S04,1M,4,2,3,0,0,0,0,Entry,High,Suburban
19765,Region 3,S06,1M,4,3,3,0,0,0,0,Standard,Medium,Urban
19768,Region 3,S05,1M,2,1,1,0,0,1,0,Standard,Low,Suburban
19777,Region 3,S05,5M,4,3,4,0,1,1,1,Standard,Medium,Urban
19779,Region 1,S02,1M,5,4,4,0,0,0,0,Standard,Medium,Rural
19784,Region 2,S04,1M,2,2,3,0,0,0,0,Standard,Low,Rural
19793,Region 2,S12,1M,4,3,3,0,0,0,1,Standard,High,Rural
19795,Region 5,S11,2M,5,3,3,1,0,0,1,Standard,High,Suburban
19804,Region 5,S09,1M,3,2,2,0,0,0,0,Standard,Medium,Suburban
19810,Region 3,S06,5M,3,2,3,0,0,0,0,Standard,Medium,Suburban
19816,Region 2,S03,5M,3,1,2,0,0,0,1,Entry,Low,Suburban
19819,Region 5,S10,1M,6,5,5,0,0,0,1,Entry,Low,Urban
19824,Region 5,S10,1M,2,1,1,0,0,0,0,Premium,High,Rural
19838,Region 3,S06,5M,2,1,1,0,1,0,1,Premium,High,Urban
19846,Region 3,S05,5M,6,5,5,0,0,1,0,Standard,Medium,Suburban
19850,Region 5,S09,1M,5,4,4,0,0,0,0,Premium,High,Rural
19851,Region 4,S08,2M,2,1,1,0,0,0,1,Standard,Medium,Suburban
19865,Region 5,S11,1M,3,2,3,0,0,0,1,Standard,High,Rural
19887,Region 3,S05,2M,3,2,2,0,0,0,1,Premium,Medium,Rural
19893,Region 5,S10,1M,6,4,4,1,0,1,1,Premium,Medium,Urban
19904,Region 2,S03,1M,4,3,3,0,0,0,0,Premium,Low,Urban
